DATAFLOW,MEASURE: Data Item,REGIONTYPE: Region Type,ASGS_2021: Region,FREQUENCY: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12302: Campbelltown (NSW),A: Annual,2022,24,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12303: Wollondilly,A: Annual,2022,809,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12401: Blue Mountains,A: Annual,2022,-824,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12403: Penrith,A: Annual,2022,-55,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12404: Richmond - Windsor,A: Annual,2022,-215,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12405: St Marys,A: Annual,2022,-628,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12501: Auburn,A: Annual,2022,-2246,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12502: Carlingford,A: Annual,2022,-564,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12503: Merrylands - Guildford,A: Annual,2022,-2915,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12504: Parramatta,A: Annual,2022,-5332,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12601: Pennant Hills - Epping,A: Annual,2022,-559,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12602: Ryde - Hunters Hill,A: Annual,2022,-1220,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12701: Bringelly - Green Valley,A: Annual,2022,6481,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12702: Fairfield,A: Annual,2022,-4705,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12703: Liverpool,A: Annual,2022,264,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12801: Cronulla - Miranda - Caringbah,A: Annual,2022,-288,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12802: Sutherland - Menai - Heathcote,A: Annual,2022,-907,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,10601: Lower Hunter,A: Annual,2022,1552,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,10602: Maitland,A: Annual,2022,2121,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,10603: Port Stephens,A: Annual,2022,894,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,10701: Dapto - Port Kembla,A: Annual,2022,296,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,10703: Kiama - Shellharbour,A: Annual,2022,1156,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,10704: Wollongong,A: Annual,2022,-774,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11101: Lake Macquarie - East,A: Annual,2022,105,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11102: Lake Macquarie - West,A: Annual,2022,1499,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11103: Newcastle,A: Annual,2022,482,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11401: Shoalhaven,A: Annual,2022,715,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11402: Southern Highlands,A: Annual,2022,123,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,10201: Gosford,A: Annual,2022,805,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,10202: Wyong,A: Annual,2022,463,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11501: Baulkham Hills,A: Annual,2022,1347,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11502: Dural - Wisemans Ferry,A: Annual,2022,126,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11503: Hawkesbury,A: Annual,2022,49,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11504: Rouse Hill - McGraths Hill,A: Annual,2022,271,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11601: Blacktown,A: Annual,2022,1543,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11602: Blacktown - North,A: Annual,2022,1060,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11603: Mount Druitt,A: Annual,2022,855,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11701: Botany,A: Annual,2022,895,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11702: Marrickville - Sydenham - Petersham,A: Annual,2022,654,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11703: Sydney Inner City,A: Annual,2022,6132,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11801: Eastern Suburbs - North,A: Annual,2022,1777,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11802: Eastern Suburbs - South,A: Annual,2022,2944,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11901: Bankstown,A: Annual,2022,1529,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11902: Canterbury,A: Annual,2022,2099,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11903: Hurstville,A: Annual,2022,2108,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11904: Kogarah - Rockdale,A: Annual,2022,2602,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12001: Canada Bay,A: Annual,2022,905,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12002: Leichhardt,A: Annual,2022,472,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12003: Strathfield - Burwood - Ashfield,A: Annual,2022,3363,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12101: Chatswood - Lane Cove,A: Annual,2022,1616,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12102: Hornsby,A: Annual,2022,873,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12103: Ku-ring-gai,A: Annual,2022,1116,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12104: North Sydney - Mosman,A: Annual,2022,1223,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12201: Manly,A: Annual,2022,525,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12202: Pittwater,A: Annual,2022,417,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12203: Warringah,A: Annual,2022,1382,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12301: Camden,A: Annual,2022,217,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12302: Campbelltown (NSW),A: Annual,2022,1126,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12303: Wollondilly,A: Annual,2022,90,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12401: Blue Mountains,A: Annual,2022,317,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12403: Penrith,A: Annual,2022,617,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12404: Richmond - Windsor,A: Annual,2022,105,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12405: St Marys,A: Annual,2022,300,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12501: Auburn,A: Annual,2022,2103,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12502: Carlingford,A: Annual,2022,838,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12503: Merrylands - Guildford,A: Annual,2022,1716,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12504: Parramatta,A: Annual,2022,3747,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12601: Pennant Hills - Epping,A: Annual,2022,646,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12602: Ryde - Hunters Hill,A: Annual,2022,2201,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12701: Bringelly - Green Valley,A: Annual,2022,577,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12702: Fairfield,A: Annual,2022,1885,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12703: Liverpool,A: Annual,2022,1136,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12801: Cronulla - Miranda - Caringbah,A: Annual,2022,661,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,12802: Sutherland - Menai - Heathcote,A: Annual,2022,463,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,10601: Lower Hunter,A: Annual,2022,179,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,10602: Maitland,A: Annual,2022,206,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,10603: Port Stephens,A: Annual,2022,255,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,10701: Dapto - Port Kembla,A: Annual,2022,239,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,10703: Kiama - Shellharbour,A: Annual,2022,310,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,10704: Wollongong,A: Annual,2022,1317,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11101: Lake Macquarie - East,A: Annual,2022,382,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11102: Lake Macquarie - West,A: Annual,2022,213,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11103: Newcastle,A: Annual,2022,1482,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11401: Shoalhaven,A: Annual,2022,309,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_7: Net overseas migration (no.),SA3: Statistical Area Level 3,11402: Southern Highlands,A: Annual,2022,230,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,10201: Gosford,A: Annual,2022,4757,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,10202: Wyong,A: Annual,2022,5106,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11501: Baulkham Hills,A: Annual,2022,3490,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11502: Dural - Wisemans Ferry,A: Annual,2022,569,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11503: Hawkesbury,A: Annual,2022,757,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11504: Rouse Hill - McGraths Hill,A: Annual,2022,2356,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11601: Blacktown,A: Annual,2022,4698,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11602: Blacktown - North,A: Annual,2022,6314,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11603: Mount Druitt,A: Annual,2022,4260,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11701: Botany,A: Annual,2022,1725,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11702: Marrickville - Sydenham - Petersham,A: Annual,2022,1215,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11703: Sydney Inner City,A: Annual,2022,3855,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11801: Eastern Suburbs - North,A: Annual,2022,3095,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11802: Eastern Suburbs - South,A: Annual,2022,3362,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11901: Bankstown,A: Annual,2022,6388,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11902: Canterbury,A: Annual,2022,4292,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11903: Hurstville,A: Annual,2022,3101,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,11904: Kogarah - Rockdale,A: Annual,2022,4015,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,12001: Canada Bay,A: Annual,2022,2157,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,12002: Leichhardt,A: Annual,2022,1669,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,12003: Strathfield - Burwood - Ashfield,A: Annual,2022,3680,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),ERP_F_2: Estimated resident population: Females aged 0-4 years (no.),SA3: Statistical Area Level 3,12101: Chatswood - Lane Cove,A: Annual,2022,3032,PSNS: Persons,,,
